,,,,,generation,run1,run2,run2,run3,run3,run1,run1,run2,run2,run3,run3
1,0.050897737,0.043190471,112,0.429331349,1,0.050897737,0.050751297,0.050751297,0.049675911,0.049675911,112,112,109,109,111,111
2,0.051740117,0.04447318,107,0.434067832,2,0.051740117,0.051380002,0.051380002,0.051557311,0.051557311,107,107,118,109,113,111
3,0.052810843,0.045864922,106,0.44399628,3,0.052810843,0.053386235,0.053386235,0.05057443,0.051557311,106,106,104,104,107,107
4,0.055371999,0.047023076,104,0.468005704,4,0.055371999,0.052107879,0.053386235,0.052449862,0.052449862,104,104,118,104,108,107
5,0.057864534,0.048225323,95,0.484895337,5,0.057864534,0.0555459,0.0555459,0.054208884,0.054208884,95,95,102,102,106,106
6,0.058723873,0.049773952,93,0.491494048,6,0.058723873,0.057951963,0.057951963,0.054730443,0.054730443,93,93,100,100,98,98
7,0.059394643,0.051048743,95,0.500196429,7,0.059394643,0.056687614,0.057951963,0.053872725,0.054730443,95,93,103,100,113,98
8,0.060923245,0.051974335,90,0.510331349,8,0.060923245,0.057009616,0.057951963,0.055718948,0.055718948,90,90,97,97,95,95
9,0.060350565,0.052103842,91,0.505679563,9,0.060923245,0.058677057,0.058677057,0.055726654,0.055726654,91,90,94,94,101,95
10,0.060560951,0.052229494,93,0.509864831,10,0.060923245,0.057368364,0.058677057,0.056416865,0.056416865,93,90,108,94,95,95
11,0.061149022,0.052780449,92,0.514716022,11,0.061149022,0.057582231,0.058677057,0.056165724,0.056416865,92,90,92,92,99,95
12,0.059249107,0.053366001,95,0.498741071,12,0.061149022,0.062174195,0.062174195,0.056636523,0.056636523,95,90,92,92,105,95
13,0.061439058,0.053553669,82,0.505956845,13,0.061439058,0.062117003,0.062174195,0.056867651,0.056867651,82,82,93,92,102,95
14,0.061165408,0.053702496,90,0.512752976,14,0.061439058,0.058879902,0.062174195,0.059372346,0.059372346,90,82,84,84,99,95
15,0.061044629,0.05394672,86,0.506998016,15,0.061439058,0.062201885,0.062201885,0.058591045,0.059372346,86,82,89,84,94,94
16,0.060584306,0.053822958,90,0.506941964,16,0.061439058,0.061019744,0.062201885,0.0592562,0.059372346,90,82,96,84,89,89
17,0.061760827,0.054537814,93,0.521863591,17,0.061760827,0.060525298,0.062201885,0.059733234,0.059733234,93,82,95,84,95,89
18,0.063440228,0.054892795,83,0.527259425,18,0.063440228,0.059492394,0.062201885,0.05890851,0.059733234,83,82,88,84,100,89
19,0.063216956,0.054744266,84,0.526287202,19,0.063440228,0.062335648,0.062335648,0.063009444,0.063009444,84,82,88,84,77,77
20,0.061641171,0.055081564,83,0.509268849,20,0.063440228,0.059707427,0.062335648,0.062071271,0.063009444,83,82,98,84,87,77
21,0.064483433,0.055645368,79,0.532334325,21,0.064483433,0.060253004,0.062335648,0.063353695,0.063353695,79,79,100,84,80,77
22,0.062797461,0.055638988,84,0.522092262,22,0.064483433,0.060919323,0.062335648,0.062314726,0.063353695,84,79,96,84,78,77
23,0.062607956,0.056400569,77,0.51069494,23,0.064483433,0.060675014,0.062335648,0.06557561,0.06557561,77,77,92,84,81,77
24,0.06291851,0.056513928,88,0.528061508,24,0.064483433,0.059222844,0.062335648,0.0653927,0.06557561,88,77,103,84,84,77
25,0.064129456,0.056396945,75,0.522873512,25,0.064483433,0.060169023,0.062335648,0.064643489,0.06557561,75,75,89,84,85,77
26,0.062620219,0.056638655,90,0.527301091,26,0.064483433,0.060867426,0.062335648,0.064266909,0.06557561,90,75,87,84,78,77
27,0.064362153,0.057071304,79,0.531121528,27,0.064483433,0.060448932,0.062335648,0.0637893,0.06557561,79,75,94,84,81,77
28,0.063263153,0.056970287,88,0.531507937,28,0.064483433,0.06111889,0.062335648,0.063903414,0.06557561,88,75,87,84,84,77
29,0.06429959,0.057406766,85,0.538344742,29,0.064483433,0.061210982,0.062335648,0.062336202,0.06557561,85,75,91,84,84,77
30,0.065981535,0.057481058,85,0.555164187,30,0.065981535,0.063729657,0.063729657,0.061093729,0.06557561,85,75,91,84,87,77
31,0.065310615,0.057644657,83,0.545963294,31,0.065981535,0.064545098,0.064545098,0.063363914,0.06557561,83,75,88,84,80,77
32,0.071170214,0.05837002,68,0.581267361,32,0.071170214,0.063406181,0.064545098,0.063975306,0.06557561,68,68,90,84,88,77
33,0.066454654,0.058960339,84,0.558664187,33,0.071170214,0.062468876,0.064545098,0.06440377,0.06557561,84,68,96,84,80,77
34,0.066016737,0.058498208,82,0.551733631,34,0.071170214,0.062987252,0.064545098,0.065504663,0.06557561,82,68,89,84,80,77
35,0.06565713,0.058899238,85,0.551920139,35,0.071170214,0.063745725,0.064545098,0.065590219,0.065590219,85,68,87,84,84,77
36,0.065851108,0.058738191,75,0.54009003,36,0.071170214,0.065001756,0.065001756,0.066698082,0.066698082,75,68,91,84,84,77
37,0.066118846,0.058706827,72,0.537900794,37,0.071170214,0.066633036,0.066633036,0.066606684,0.066698082,72,68,80,80,80,77
38,0.067739701,0.05906582,76,0.560513889,38,0.071170214,0.067268452,0.067268452,0.066327054,0.066698082,76,68,80,80,82,77
39,0.064281985,0.059193175,84,0.5369375,39,0.071170214,0.068215917,0.068215917,0.065141438,0.066698082,84,68,78,78,77,77
40,0.066677671,0.059254854,75,0.548355655,40,0.071170214,0.065951326,0.068215917,0.066235417,0.066698082,75,68,86,78,83,77
41,0.066342014,0.059814959,83,0.556277282,41,0.071170214,0.06886527,0.06886527,0.06650401,0.066698082,83,68,75,75,75,75
42,0.066800616,0.059818186,82,0.559572421,42,0.071170214,0.06886527,0.06886527,0.069214521,0.069214521,82,68,75,75,85,75
43,0.064820676,0.059552277,84,0.542324405,43,0.071170214,0.069454464,0.069454464,0.065065343,0.069214521,84,68,74,74,84,75
44,0.067032928,0.059521398,84,0.564446925,44,0.071170214,0.066892157,0.069454464,0.066780798,0.069214521,84,68,78,74,78,75
45,0.066831151,0.060781378,74,0.548311508,45,0.071170214,0.067783199,0.069454464,0.067097834,0.069214521,74,68,81,74,84,75
46,0.068003249,0.060564214,74,0.56003249,46,0.071170214,0.069946677,0.069946677,0.065625893,0.069214521,74,68,79,74,74,74
47,0.067736062,0.059908344,80,0.566249504,47,0.071170214,0.069728764,0.069946677,0.066357185,0.069214521,80,68,78,74,75,74
48,0.066433427,0.059572918,77,0.548949653,48,0.071170214,0.070842172,0.070842172,0.065947021,0.069214521,77,68,73,73,72,72
49,0.067191267,0.060021062,73,0.550291047,49,0.071170214,0.070034096,0.070842172,0.06523558,0.069214521,73,68,77,73,81,72
50,0.068066232,0.060674222,85,0.576011161,50,0.071170214,0.069102871,0.070842172,0.068369736,0.069214521,85,68,77,73,78,72
51,0.066466808,0.060601068,75,0.546247024,51,0.071170214,0.071459863,0.071459863,0.067042974,0.069214521,75,68,75,73,76,72
52,0.067358727,0.060564788,72,0.550299603,52,0.071170214,0.071893199,0.071893199,0.06608442,0.069214521,72,68,78,73,82,72
53,0.066363278,0.060773784,73,0.542011161,53,0.071170214,0.075505581,0.075505581,0.067593296,0.069214521,73,68,68,68,75,72
54,0.068733268,0.060943986,73,0.565711062,54,0.071170214,0.069315575,0.075505581,0.070033458,0.070033458,73,68,71,68,68,68
55,0.067296701,0.060920928,71,0.547967014,55,0.071170214,0.069677205,0.075505581,0.069186525,0.070033458,71,68,72,68,75,68
56,0.068537023,0.061309083,77,0.569985615,56,0.071170214,0.070407837,0.075505581,0.068185297,0.070033458,77,68,74,68,65,65
57,0.069754689,0.061731553,68,0.567112103,57,0.071170214,0.07103951,0.075505581,0.068646701,0.070033458,68,68,68,68,69,65
58,0.069778919,0.062328237,71,0.572789187,58,0.071170214,0.074381819,0.075505581,0.06872629,0.070033458,71,68,66,66,74,65
59,0.070655317,0.062847607,73,0.584931548,59,0.071170214,0.073292227,0.075505581,0.070656314,0.070656314,73,68,70,66,70,65
60,0.071035417,0.062370351,69,0.581782738,60,0.071170214,0.07387148,0.075505581,0.068462465,0.070656314,69,68,67,66,70,65
61,0.077816278,0.062659569,61,0.633001488,61,0.077816278,0.075640822,0.075640822,0.071103175,0.071103175,61,61,66,66,74,65
62,0.078304373,0.063740352,61,0.63788244,62,0.078304373,0.073196256,0.075640822,0.072047718,0.072047718,61,61,67,66,74,65
63,0.075189995,0.064450578,70,0.625139385,63,0.078304373,0.071392591,0.075640822,0.069352621,0.072047718,70,61,78,66,75,65
